N_kN,My_kNm,Mz_kNm,neutral_axis_depth_mm,neutral_axis_angle_deg,max_concrete_strain,max_steel_strain
-436.89308654744184,-23.835045318156734,-22.877252424615737,48.24913966600429,234.0,0.02280664699255414,0.02
-436.89308654744184,-24.181142601778895,-22.52507787595548,46.83019594580204,240.0,0.02280428137747683,0.02
-436.89308654744184,-24.567436812686225,-22.11825255962946,44.59370450401026,246.0,0.022799695786725836,0.02
-436.89308654744184,-25.030942087459447,-21.567293956538514,41.52746594756026,252.0,0.022792303575814226,0.02
-436.89308654744184,-25.648435839284897,-20.62806631821398,37.207284782278116,258.0,0.022778108805432996,0.02
-436.89308654744184,-26.642690589730517,-17.9567389636089,30.62612266493613,264.0,0.02274724682566081,0.02
-436.89308654744184,-27.863049519946866,-5.3783878684043885e-14,15.508570778374475,270.0,0.022643688841294817,0.02
-436.89308654744184,-26.642690589730528,17.956738963608892,30.626122664936133,276.0,0.022747246825660813,0.02
-436.89308654744184,-25.648435839284893,20.628066318213964,37.20728478227813,282.0,0.022778108805432996,0.02
-436.89308654744184,-25.03094208745947,21.567293956538524,41.527465947560245,288.0,0.022792303575814223,0.02
-436.89308654744184,-24.567436812686225,22.118252559629457,44.59370450401026,294.0,0.02279969578672584,0.02
-436.89308654744184,-24.181142601778898,22.52507787595548,46.83019594580204,300.0,0.02280428137747683,0.02
-436.89308654744184,-23.835045318156748,22.877252424615754,48.249139666004325,306.0,0.02280664699255414,0.02
-436.89308654744184,-23.52130458519763,23.19058878766248,48.97748118852036,312.0,0.022807895182772493,0.02
-436.89308654744184,-23.190588787662485,23.521304585197623,48.977481188520414,318.0,0.022807895182772493,0.02
-436.89308654744184,-22.87725242461574,23.835045318156727,48.24913966600435,324.0,0.02280664699255414,0.02
-436.89308654744184,-22.52507787595548,24.1811426017789,46.830195945802096,330.0,0.022804281377476827,0.02
-436.89308654744184,-22.118252559629454,24.56743681268621,44.59370450401029,336.0,0.022799695786725836,0.02
-436.89308654744184,-21.567293956538528,25.030942087459472,41.52746594756032,342.0,0.022792303575814226,0.02
-436.89308654744184,-20.628066318213957,25.64843583928488,37.20728478227816,348.0,0.022778108805432993,0.02
-436.89308654744184,-17.956738963608913,26.642690589730552,30.626122664936183,354.0,0.02274724682566081,0.02
-360.65377370660764,-5.587935447692871e-15,40.64628524384222,20.74737343008537,0.0,0.022686622402681763,0.02
-360.65377370660764,24.5097718868481,39.56561508420336,39.31353856854167,6.0,0.022817852042977115,0.02
-360.65377370660764,30.18107995558117,38.15178963901447,48.54916893176451,12.0,0.022865959669865616,0.02
-360.65377370660764,32.07334854019045,37.31033975574676,54.66048365799471,18.0,0.02288932683480448,0.02
-360.65377370660764,33.09817545696925,36.68503707626235,59.019855242765665,24.0,0.02290213349805533,0.02
-360.65377370660764,33.79674685021194,36.16530161974769,62.107344539404174,30.0,0.022909570097553757,0.02
-360.65377370660764,34.33994515062674,35.70395042995164,64.15664131877689,36.0,0.022914122770088183,0.02
-360.65377370660764,34.821710784392245,35.259559667668334,65.1583412502871,42.0,0.022916143172256716,0.02
-360.65377370660764,35.259559667668356,34.82171078439227,65.15834125028712,48.0,0.022916143172256716,0.02
-360.65377370660764,35.70395042995165,34.33994515062674,64.15664131877689,54.0,0.022914122770088183,0.02
-360.65377370660764,36.16530161974768,33.796746850211946,62.107344539404174,60.0,0.022909570097553757,0.02
-360.65377370660764,36.68503707626234,33.09817545696925,59.01985524276565,66.0,0.02290213349805533,0.02
-360.65377370660764,37.31033975574678,32.07334854019047,54.66048365799474,72.0,0.022889326834804477,0.02
-360.65377370660764,38.15178963901446,30.181079955581165,48.54916893176449,78.0,0.022865959669865616,0.02
-360.65377370660764,39.565615084203365,24.509771886848096,39.31353856854168,84.0,0.022817852042977115,0.02
-360.65377370660764,40.646285243842286,-7.450580596923828e-15,20.74737343008538,90.0,0.022686622402681766,0.02
-360.65377370660764,39.565615084203344,-24.509771886848117,39.31353856854165,96.0,0.02281785204297711,0.02
-360.65377370660764,38.15178963901445,-30.181079955581158,48.54916893176446,102.0,0.02286595966986562,0.02
-360.65377370660764,37.31033975574679,-32.07334854019048,54.66048365799471,108.0,0.022889326834804477,0.02
-360.65377370660764,36.68503707626236,-33.098175456969265,59.01985524276565,114.0,0.02290213349805533,0.02
-360.65377370660764,36.16530161974771,-33.79674685021195,62.10734453940415,120.0,0.022909570097553757,0.02
-360.65377370660764,35.70395042995165,-34.33994515062673,64.15664131877685,126.0,0.022914122770088186,0.02
-360.65377370660764,35.25955966766835,-34.82171078439226,65.15834125028708,132.0,0.02291614317225672,0.02
-360.65377370660764,34.82171078439226,-35.25955966766835,65.15834125028708,138.0,0.02291614317225672,0.02
-360.65377370660764,34.33994515062673,-35.70395042995164,64.15664131877682,144.0,0.022914122770088183,0.02
-360.65377370660764,33.79674685021195,-36.1653016197477,62.10734453940412,150.0,0.022909570097553757,0.02
-360.65377370660764,33.09817180524757,-36.68503296918509,59.01985058243313,156.0,0.022902133463752274,0.02
-360.65377370660764,32.07334854019046,-37.31033975574677,54.660483657994696,162.0,0.02288932683480448,0.02
-360.65377370660764,30.18107995558116,-38.15178963901446,48.54916893176444,168.0,0.022865959669865623,0.02
-360.65377370660764,24.509771886848135,-39.56561508420332,39.31353856854165,174.0,0.022817852042977115,0.02
-360.65377370660764,4.004687070846558e-14,-40.64628524384224,20.747373430085354,180.0,0.022686622402681763,0.02
-360.65377370660764,-24.50977188684813,-39.565615084203394,39.31353856854164,186.0,0.022817852042977115,0.02
-360.65377370660764,-30.18107995558117,-38.15178963901447,48.54916893176443,192.0,0.022865959669865623,0.02
-360.65377370660764,-32.07334854019047,-37.31033975574678,54.66048365799462,198.0,0.02288932683480448,0.02
-360.65377370660764,-33.09817180524757,-36.685032969185094,59.0198505824331,204.0,0.022902133463752274,0.02
-360.65377370660764,-33.796746850211925,-36.16530161974767,62.10734453940406,210.0,0.022909570097553757,0.02
-360.65377370660764,-34.33994515062673,-35.70395042995164,64.15664131877682,216.0,0.022914122770088186,0.02
-360.65377370660764,-34.82171078439223,-35.25955966766832,65.158341250287,222.0,0.02291614317225672,0.02
-360.65377370660764,-35.25955966766835,-34.82171078439225,65.15834125028707,228.0,0.022916143172256716,0.02
-360.65377370660764,-35.70395042995163,-34.339945150626725,64.15664131877679,234.0,0.022914122770088186,0.02
-360.65377370660764,-36.16530161974767,-33.79674685021194,62.10734453940411,240.0,0.022909570097553757,0.02
-360.65377370660764,-36.68503707626237,-33.09817545696927,59.019855242765594,246.0,0.022902133498055328,0.02
-360.65377370660764,-37.31033975574679,-32.07334854019047,54.660483657994675,252.0,0.02288932683480448,0.02
-360.65377370660764,-38.15178963901447,-30.181079955581176,48.549168931764456,258.0,0.022865959669865626,0.02
